City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
408,Mitsamiouli,KM,76.98,clear sky,-11.3847,43.2844,Foyer ADM
409,Touros,BR,74.57,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
413,Zunyi,CN,78.51,broken clouds,27.6867,106.9072,Bishiluo Hostel
415,Kamareddi,IN,72.86,overcast clouds,18.3167,78.35,Mahadev sena youth
417,Conde,BR,72.86,clear sky,-7.2597,-34.9075,Pousada Beija Flor
418,Astana,KZ,69.75,clear sky,51.1801,71.446,King Hotel Astana
421,Monroe,US,66.96,clear sky,43.1501,-77.6831,Rodeway Inn Rochester Airport
423,Ashland,US,65.97,clear sky,40.8167,-82.2665,SureStay
427,Bathsheba,BB,83.01,broken clouds,13.2167,-59.5167,Atlantis Hotel
428,Torbat-E Jam,IR,77.05,clear sky,35.244,60.6225,White building
431,Tucurui,BR,75.9,scattered clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
435,Polewali,ID,79.12,overcast clouds,-3.4324,119.3435,Lilianto Hotel
436,Cabedelo,BR,74.07,clear sky,-6.9811,-34.8339,Pousada Camboinha
438,Antipolo,PH,84.99,broken clouds,14.5864,121.1753,Loreland Farm Resort
440,Maple Creek,CA,82.81,clear sky,49.9168,-109.4848,Willowbend Campground & Cabins
444,Maturin,VE,73.26,scattered clouds,9.75,-63.1767,Hotel Residencial La Pichincha
445,Kavaratti,IN,82.13,broken clouds,10.5669,72.642,Green leaf
446,Padang,ID,82.45,overcast clouds,-0.9492,100.3543,Mercure Padang
447,Zarand,IR,69.21,clear sky,30.8127,56.564,مهمانسرای فناپ
448,Sampit,ID,83.41,scattered clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
450,Asfi,MA,69.26,overcast clouds,32.2994,-9.2372,Hôtel Abda
452,Guna,IN,81.64,overcast clouds,24.65,77.3167,Hotel G K Jain
453,Kemin,KG,73.33,clear sky,42.7846,75.6892,Hotel Kok-Oirok
454,Kolda,SN,75.9,overcast clouds,12.8833,-14.95,Hôtel Hobbe Chasse
457,Teguise,ES,68.22,clear sky,29.0605,-13.564,B&B La Casona de Nazaret
459,Narragansett,US,74.82,scattered clouds,41.4501,-71.4495,Hampton Inn South Kingstown - Newport Area
460,Nizamabad,IN,74.3,overcast clouds,18.6667,78.1167,Hostel Luxury A/C
463,Acajutla,SV,79.75,overcast clouds,13.5928,-89.8275,Laureles
467,Bemidji,US,68.09,clear sky,47.4736,-94.8803,Hampton Inn & Suites Bemidji
469,Boa Vista,BR,78.78,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
476,Guerrero Negro,MX,68.02,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
477,Xuddur,SO,70.5,overcast clouds,4.1213,43.8894,Banjanay Hotel
479,Namtsy,RU,72.41,overcast clouds,62.7161,129.6658,"""Эңсиэли Киин"""
480,Dongfeng,CN,70.38,broken clouds,42.6403,125.5118,Home Inn
483,Kavieng,PG,83.62,moderate rain,-2.5744,150.7967,Nusa Island Retreat
485,Sharkan,RU,68.61,overcast clouds,57.2989,53.8712,Rodnichok
487,Ferrol,ES,72.59,overcast clouds,43.4832,-8.2369,Hotel Spa Sercotel Odeón
488,Eyl,SO,79.63,overcast clouds,7.9803,49.8164,Amiin Hotel
489,San Cristobal,VE,75.38,scattered clouds,7.7669,-72.225,Pirineos
490,Sabang,ID,82.89,broken clouds,5.8933,95.3214,Hotel Citra
491,Chazuta,PE,77.85,few clouds,-6.5742,-76.1367,Cáliz Hostel Chazuta
493,Statesboro,US,78.33,scattered clouds,32.4488,-81.7832,"Holiday Inn Statesboro-University Area, an IHG Hotel"
495,Tabas,IR,81.43,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
497,Partapur,IN,80.04,moderate rain,23.6,74.1667,Hotel The Park
510,Hatillo,PR,79.39,scattered clouds,18.4863,-66.8254,El Buen Hotel
511,Itaituba,BR,77.56,overcast clouds,-4.2761,-55.9836,Hotel Campos
518,Puerto Leguizamo,CO,72.07,broken clouds,-0.1934,-74.7819,la casona de juancho
524,Fort Collins,US,82.56,broken clouds,40.5853,-105.0844,Best Western University Inn
526,Marica,BR,73.31,clear sky,-22.9194,-42.8186,Marica Hills
527,Kendari,ID,76.51,heavy intensity rain,-3.945,122.4989,Hotel Wixel
528,Harnai,PK,82.31,overcast clouds,30.1005,67.9374,Shah g hotel and restaurant
529,Petropavlovsk-Kamchatskiy,RU,77.59,clear sky,53.0452,158.6483,The Hotel Petropavlovsky
530,Kailua,US,83.61,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
532,Half Moon Bay,US,76.53,haze,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
535,Kampong Thum,KH,81.66,overcast clouds,12.7111,104.8887,Sambor Village Hotel
538,Muros,ES,72.16,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
539,Puerto Narino,CO,72.63,scattered clouds,-3.7703,-70.3831,Eware Refugio Amazonico
541,Mao,ES,73.96,clear sky,39.8885,4.2658,ARTIEM Capri
542,Sola,VU,80.24,scattered clouds,-13.8833,167.55,Leumerus Bungalows
543,Leshan,CN,83.59,broken clouds,29.5623,103.7639,Leshan Haiyun International Youth Hostel
544,Vuktyl,RU,70.09,overcast clouds,63.8567,57.3094,Mini-Hotel Lokomotiv
546,Alyangula,AU,74.8,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
548,Basco,PH,84.65,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
549,Tommot,RU,81.34,scattered clouds,58.9564,126.2925,Gostinitsa Tommot
550,Coari,BR,73.71,scattered clouds,-4.085,-63.1414,Dellrey Hotel Center
553,Balsas,BR,79.66,broken clouds,-7.5325,-46.0356,Novo Hotel
555,Vao,NC,71.08,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
556,Antalaha,MG,66.88,scattered clouds,-14.9003,50.2788,Hotel Vitasoa
557,North Branch,US,80.58,overcast clouds,45.5113,-92.9802,AmericInn by Wyndham North Branch
558,Buala,SB,83.98,light rain,-8.145,159.5921,Maringe Lagoon Lodge
560,Mae Sai,TH,79.5,light rain,20.4335,99.8762,Piyaporn Hill Paradise Hotel
561,Taveta,KE,66.42,overcast clouds,-3.3963,37.6736,Challa Hotel
563,Slave Lake,CA,66.63,scattered clouds,55.2834,-114.769,Super 8 by Wyndham Slave Lake AB
568,Salina Cruz,MX,78.24,overcast clouds,16.1667,-95.2,Amerik HOTEL
569,Ahuimanu,US,83.34,broken clouds,21.4447,-157.8378,Paradise Bay Resort
571,Lazaro Cardenas,MX,81.03,broken clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
572,Sedam,IN,74.39,overcast clouds,17.1773,77.2824,Savera Lodge
573,Tabou,CI,75.11,overcast clouds,4.423,-7.3528,hotêl doufoulougou
575,Coahuayana,MX,79.83,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
578,Sibolga,ID,81.18,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
579,Golden,US,80.08,overcast clouds,39.7555,-105.2211,"The Golden Hotel, Ascend Hotel Collection"
580,Loa Janan,ID,76.86,light rain,-0.583,117.095,Kost bu jono
581,Naze,JP,83.37,overcast clouds,28.3667,129.4833,Shishime Hotel
584,Mogadishu,SO,76.78,light rain,2.0371,45.3438,Hotel Juba
586,Les Cayes,HT,79.11,broken clouds,18.2,-73.75,Villa Orphee
587,Urumqi,CN,70.75,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
588,Naryan-Mar,RU,70.05,overcast clouds,67.6713,53.087,Hostel Agat
590,Avanigadda,IN,80.92,overcast clouds,16.0215,80.9181,AP Camping
592,Port-Gentil,GA,74.79,broken clouds,-0.7193,8.7815,Fengshui Residence
594,Ayagoz,KZ,69.44,clear sky,47.9714,80.4392,ХАН
598,Saint-Pierre,RE,65.91,few clouds,-21.3393,55.4781,Alize Plage
599,Mazamet,FR,76.08,clear sky,43.49,2.373,La Villa de Mazamet
600,Arenapolis,BR,72.82,clear sky,-14.4503,-56.8461,Mato Grosso Hotel
601,Omboue,GA,69.89,clear sky,-1.5746,9.2618,Hotel Olako
602,Acapulco,MX,79.45,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
603,Sirjan,IR,72.91,clear sky,29.452,55.6814,MAPNA Building
605,Hervey Bay,AU,65.39,few clouds,-25.2986,152.8535,Shelly Bay Resort
607,Shache,CN,74.95,overcast clouds,38.4167,77.2406,Delong Hotel
612,Limon,CR,78.67,overcast clouds,10.0,-83.0333,Hotel Playa Bonita
617,Maryborough,AU,66.56,clear sky,-25.5333,152.7,Blue Shades Motel
618,Diu,IN,80.29,moderate rain,20.7141,70.9822,Hotel Relax Inn
619,Salinopolis,BR,77.76,clear sky,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
623,Srivardhan,IN,79.3,overcast clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
626,Mayo,US,80.55,clear sky,38.8876,-76.5119,Resorts Resource Group International
628,Sao Filipe,CV,74.43,scattered clouds,14.8961,-24.4956,Hotel Xaguate
629,Rincon,US,77.86,overcast clouds,32.296,-81.2354,Days Inn Rincon
630,Guane,CU,76.35,overcast clouds,22.2025,-84.0875,base de Campismo LosPortales de Guane
631,Griffith,US,72.1,clear sky,41.5284,-87.4237,Apartment above Depot Bar
632,Ust-Nera,RU,76.87,overcast clouds,64.5667,143.2,Hotel Ust-Nera
